ID,COUNTRY,ISO3,GEO,DEV,YEAR,CAT1,CAT2,DESCR,AUTH,AUTHCAT,BIND,
37,Bangladesh,BGD,South Asia,LIC,2011,Climate risk management,GPP,Bangladesh's Policy Guidelines on Green Banking,Bangladesh Bank (BB),1,1,
38,Bangladesh,BGD,South Asia,LIC,2011,Disclosure requirements banks,GPP,Bangladesh's Policy Guidelines on Green Banking,Bangladesh Bank (BB),1,1,
39,Bangladesh,BGD,South Asia,LIC,2011,Green finance guidelines,GFP,Bangladesh's Policy Guidelines on Green Banking,Bangladesh Bank (BB),1,1,
40,Brazil,BRA,Latin America & Caribbean,UMIC,2011,Credit Allocation,GCA,Brazil's Resolution (4,008/2011) on Financing Climate Mitigation and Adaptation Projects,Brazilian Monetary Council (CMN),2,3,
41,Australia,AUS,East Asia & Pacific,HIC,2011,Disclosure requirements for non-financial institutions,OGD,Guidelines on Disclosing How Investments Take Into Account Labour Standards or Environmental, Social, or Ethical Considerations (Regulatory Guide 65), Australia Securities and Investments Commission,3,3,
42,Spain,ESP,Europe & Central Asia,HIC,2011,Disclosure requirements for non-financial institutions,OGD,Spain's Sustainable Economy Law Requires Disclosure of Annual Sustainability Reports,Government of Spain ,3,3,
43,Russian federation,RUS,Europe & Central Asia,UMIC,2011,Disclosure requirements for non-financial institutions,OGD,Russia’s Regulation on Information Disclosure (Order 11-46/pz-n, 2011),Central Bank of Russia,1,3,
44,Germany,DEU,Europe & Central Asia,HIC,2011,Green finance guidelines,GFP,German Sustainability Code,German Council for Sustainable Development,3,3,
45,South Africa,ZAF,Sub-Saharan Africa,UMIC,2011,Green finance guidelines,GFP,Amendment to South Africa's Pension Funds Act of 1956 (Amendment of Regulation 28),National Treasury,3,3,
46,India,IND,South Asia,LMIC,2011,Green finance guidelines,GFP,India's National Voluntary Guidelines on Social, Environmental, and Economic Responsibilities of Business, Government of India, Ministry of Corporate Affairs,3,2,
47,Nigeria,NGA,Sub-Saharan Africa,LMIC,2012,Climate risk management,GPP,Nigerian Sustainable Banking Principles and Guidance Note,Central bank of Nigeria/Nigerian Banking Association ,4,1,
48,Nigeria,NGA,Sub-Saharan Africa,LMIC,2012,Disclosure requirements banks,GPP,Nigerian Sustainable Banking Principles and Guidance Note,Central bank of Nigeria/Nigerian Banking Association ,4,1,
49,Singapore,SGP,East Asia & Pacific,HIC,2012,Disclosure requirements for non-financial institutions,OGD,Singapore's Code of Corporate Governance 2012 Revision Includes Sustainability Issues,Monetary Authority of Singapore ,1,1,
50,Malaysia,MYS,East Asia & Pacific,UMIC,2012,Disclosure requirements for non-financial institutions,OGD,The Malaysian Code on Corporate Governance Includes a Recommendation on Promoting Sustainability,Securities Commission Malaysia ,2,1,
51,Fiji,FJI,East Asia & Pacific,UMIC,2012,Credit Allocation,GCA,FIji's Agriculture and Renewable Energy Loans Ratio,Reserve Bank of Fiji ,1,3,
52,China,CHN,East Asia & Pacific,UMIC,2012,Climate risk management,GPP,Green Credit Guidelines (2012) ,CBRC ,2,3,
53,Denmark,DNK,Europe & Central Asia,HIC,2012,Disclosure requirements for non-financial institutions,OGD,Danish Corporate Reporting on Human Rights and Climate (Financial Statements Act, Amendment 2012),Danish Business Authority ,2,3,
54,France,FRA,Europe & Central Asia,HIC,2012,Disclosure requirements for non-financial institutions,OGD,French Regulations on Corporate Environmental and Social Reporting,Government of France,3,3,
55,Italy,ITA,Europe & Central Asia,HIC,2012,Disclosure requirements for non-financial institutions,OGD,Italy's Provisions on the Process of Implementing the Investment Policy Require Communication of Ethical, Environment, and/or Social Criteria, COVIP,3,3,
56,South Korea,KOR,East Asia & Pacific,HIC,2012,Disclosure requirements for non-financial institutions,OGD,Green Posting System - Corporate Disclosure,Financial Services Commission,3,3,
57,India,IND,South Asia,LMIC,2012,Disclosure requirements for non-financial institutions,OGD,India's Listing Obligations and Disclosure Requirements Regulations Mandate Top 500 Listed Companies to Produce Business Responsibility Reports,Securities and Exchange Board of India,3,3,
58,Indonesia,IDN,East Asia & Pacific,LMIC,2012,Disclosure requirements for non-financial institutions,OGD,Corporate Responsibility Regulation in Indonesia (Regulation No. 47/2012),Government of Indonesia,3,3,
59,Brazil ,BRA,Latin America & Caribbean,UMIC,2012,Disclosure requirements for non-financial institutions,OGD,CODIM Pronouncement no. 13 and 14, 2012 ,Brazilian Steering Committee for Information Disclosure to the Market (CODIM),3,3,
60,Japan,JAP,East Asia & Pacific,HIC,2012,Green finance guidelines,GFP,Principles for Financial Action Towards a Sustainable Society,Ministry of the Environment (MOEJ),3,3,
61,United Kingdom,,Europe & Central Asia,HIC,2012,Green finance guidelines,GFP,The Kay Review of UK Equity Markets and Long-Term Decision-Making Finds that Short-termism is an Underlying Problem, HM Government,3,2,
62,Colombia,COL,Latin America & Caribbean,UMIC,2012,Green finance guidelines,GFP,Colombia's Protocol Verde (Green Protocol),Ministry of Environment and Sustainable Development ,2,2,
63,China,CHN,East Asia & Pacific,UMIC,2013,Disclosure requirements banks,GPP,China's Green Credit Statistics System,CBRC ,2,3,
64,Australia,AUS,East Asia & Pacific,HIC,2013,Disclosure requirements for non-financial institutions,OGD,Australia's Superannuation Governance Policy (Standard No. 20) Requires Environmental, Social, and Governance (ESG) Risk Management and Disclosure,Australian Financial Services Council (FSC),3,3,
65,Norway,NOR,Europe & Central Asia,HIC,2013,Disclosure requirements for non-financial institutions,OGD,Norway Adopts Amendment to the Accounting Act of 1998 that Requires Corporate Social Responsibility (CSR) Reporting by Large Companies,Government of Norway ,3,3,
66,United Kingdom,,Europe & Central Asia,HIC,2013,Disclosure requirements for non-financial institutions,OGD,Amendment to the Companies Act of 2006 Includes New Environmental, Social, and Governance (ESG) Disclosure Requirements, HM Government,3,3,
67,Australia,AUS,East Asia & Pacific,HIC,2013,Green finance guidelines,GFP,Prudential Practice Guide on Investment Governance (SPG 530),Australian Prudential Regulation Authority,2,3,
68,Indonesia,IDN,East Asia & Pacific,LMIC,2013,Credit Allocation,GCA,Indonesia's Green Lending Model Guidelines for Mini Hydro Power Plant Projects                ,CB and Ministry of Environment,4,2,
69,Pakistan,PAK,South Asia,LMIC,2013,Climate risk management,GPP,Pakistan's Corporate Social Responsibility Voluntary Guidelines,Securities and Exchange Commission of Pakistan ,2,2,
70,Netherlands,NLD,Europe & Central Asia,HIC,2014,Climate risk management,GPP,The Corporate Social Responsibility (CSR) Strategy, 2019-2025, of De Nederlandsche Bank (DNB),De Nederlandsche Bank (DNB) ,1,1,
71,Israel,ISR,Middle East & North Africa,HIC,2014,Disclosure requirements for non-financial institutions,OGD,The Environmental Impact Index,Israel Ministry of Environmental Protection ,3,1,
72,Sweden,SWE,Europe & Central Asia,HIC,2014,Green finance guidelines,GFP,Additional Directive (2014: 158) Aims to Improve How Fund Managers Integrate Sustainability,Government of Sweden ,3,1,
73,Malaysia,MYS,East Asia & Pacific,UMIC,2014,Green finance guidelines,GFP,Malaysian Code for Institutional Investors,Securities Commission Malaysia ,2,1,
74,Mongolia,MNG,East Asia & Pacific,UMIC,2014,Green finance guidelines,GFP,Mongolian Sustainable Finance Principles and Sector Guidelines,Mongonlian Banker's Association and Mongolian Central Bank ,4,1,
75,China,CHN,East Asia & Pacific,UMIC,2014,Disclosure requirements banks,GPP,Notice on Green Credit Key Performance Indicators (No. 186),CBRC ,2,3,
76,Brazil ,BRA,Latin America & Caribbean,UMIC,2014,Disclosure requirements for non-financial institutions,OGD,The Brazilian Securities Commission (CVM) Instruction No. 480/2009 Requires Listed Companies to Include Environmental Information in their Annual Reports,Brazilian Securities Commission (CVM),4,3,
77,Malaysia,MYS,East Asia & Pacific,UMIC,2014,Disclosure requirements for non-financial institutions,OGD,Sustainable and Responsible Investment Sukuk Framework,Securities Commission Malaysia,2,3,
78,United States of America,,North America,HIC,2014,Green bonds,GB,California has Issued a USD 300 Million Green Bond,The California State Treasurer's Office ,3,3,
79,South Africa,ZAF,Sub-Saharan Africa,UMIC,2014,Green bonds,GB,Requirements to Join the Green Bond Segment of the Johannesburg Stock Exchange,Johannesburg Stock Exchange ,3,3,
80,Thailand,,East Asia & Pacific,UMIC,2014,Climate risk management,GPP,Sustainability Development Roadmap for Listed Companies,Securities and Exchange Commission of Thailand (SEC) ,3,2,
81,Turkey,,Europe & Central Asia,UMIC,2014,Disclosure requirements banks,GPP,Sustainability Guidelines for the Banking Sector,Banks Association of Turkey (BAT),3,2,
82,Russian federation,RUS,Europe & Central Asia,HIC,2014,Disclosure requirements for non-financial institutions,OGD,Russia's Code of Corporate Governance (Article 69) Recommends Joint Stock Companies to Assess Financial and Non-Financial Risks, Central Bank of Russia,1,2,
83,Brazil,BRA,Latin America & Caribbean,UMIC,2014,Green finance guidelines,GFP,Resolution 4.327/2014: Financial Institutions Socio-Environmental Responsibility,Brazilian Monetary Council (CMN),2,2,
84,Switzerland,,Europe & Central Asia,HIC,2015,Climate risk management,GPP,Design of a Sustainable Financial System: Swiss Team Input into Inquiry into the Design of a Sustainable Financial System (UN Environment Inquiry),Federal Ministry of the Environment, Swiss Confederation ,4,1,
85,Viet Nam,,East Asia & Pacific,LMIC,2015,Climate risk management,GPP,Directive on Promoting Green Credit Growth and Environmental and Social Risks Management in Credit Granting Activities,State Bank of Vietnam (SBV) ,1,1,
86,China,CHN,East Asia & Pacific,UMIC,2015,Climate risk management,GPP,China's 13th Five Year Plan (2016-2020) Includes Recommendations from the Green Finance Task Force,Chinese Government,3,1,
87,Viet Nam,,East Asia & Pacific,LMIC,2015,Disclosure requirements banks,GPP,Directive on Promoting Green Credit Growth and Environmental and Social Risks Management in Credit Granting Activities,State Bank of Vietnam (SBV) ,1,1,
88,Viet Nam,,East Asia & Pacific,LMIC,2015,Disclosure requirements for non-financial institutions,OGD,Guidelines for Information Disclosure on Securities Market (Circular 155/2015/TT-BTC),State Securities Commission (SSC) of Vietnam ,3,1,
89,Colombia,COL,Latin America & Caribbean,UMIC,2015,Disclosure requirements for non-financial institutions,OGD,Legal Guide to Do Business in Colombia,Government of Colombia ,3,1,
90,Australia,AUS,East Asia & Pacific,HIC,2015,Green finance guidelines,GFP,Australia's Environmental, Social, and Governance (ESG) Reporting Guide,Australian Financial Services Council (FSC) and Australian Council of Superannuation Investors (ACSI),3,1,
91,France,FRA,Europe & Central Asia,HIC,2015,Green finance guidelines,GFP,A 2015 Report has Proposed a Roadmap to Finance a Low-Carbon Economy in France,Government,3,1,
92,France,FRA,Europe & Central Asia,HIC,2015,Green finance guidelines,GFP,France's Energy and Ecological Transition for Climate Label, Ministry for an Ecological and Solidarity Transition,3,1,
93,United States of America,,North America,HIC,2015,Green finance guidelines,GFP,A Bulletin Issued by the United States Department of Labor Clarifies that Environmental, Social, and Governance (ESG) Factors Can Be Part of Investment Decision Making,Department of Labor,3,1,
94,Kenya,KEN,Sub-Saharan Africa,LMIC,2015,Green finance guidelines,GFP,Sustainable Finance Guiding Principles Adopted by Kenya's Banking Industry,Kenyan Banking Association and Central Bank of Kenya ,4,1,
95,Argentina,ARG,Latin America & Caribbean,UMIC,2015,Green finance guidelines,GFP,The Argentine Securities Commission (regulated under Law N° 26.831) is Among the Few Market Regulators with Sustainability in its Mandate,Argentine Securities Commission,2,1,
96,Russian federation,RUS,Europe & Central Asia,UMIC,2015,Green finance guidelines,GFP,Vnesheconombank (VEB) Sustainability Roadmap/Policy brief “Green finance: the agenda for Russia”,Vnesheconombank (VEB),3,1,
97,China,CHN,East Asia & Pacific,UMIC,2015,Green bonds,GB,Notice (No. 39) on the Issue of Green Financial Bonds in China’s Inter-Bank Bond Market,People's Bank of China ,1,1,
98,Norway,NOR,Europe & Central Asia,HIC,2015,Climate risk management,GPP,Norges Bank's Principles for Responsible Investment Management,Government of Norway ,3,3,
99,Peru,PER,Latin America & Caribbean,UMIC,2015,Climate risk management,GPP,Environmental and Social Risk Management of Financial Institutions in Peru (Resolution 1928/2015),Superintendency of Banking, Insurance and Private Pension Fund Administrators (SBS) ,4,3,
100,Peru,PER,Latin America & Caribbean,UMIC,2015,Climate risk management,GPP,Regulation on Socio-environmental Risk Management of Financial Firms in Peru (SBS N°01-2015),Superintendency of Banking, Insurance and Private Pension Fund Administrators (SBS) ,4,3,
101,France,FRA,Europe & Central Asia,HIC,2015,Disclosure requirements for non-financial institutions,OGD,Law on energy transition for Green Growth,Government,3,3,
102,Germany,DEU,Europe & Central Asia,HIC,2015,Disclosure requirements for non-financial institutions,OGD,Germany's Act on the Supervision of Insurance Undertakings Requires Pension Funds to Report on Ethical, Social, and Ecological Considerations,Bafin,2,3,
103,Italy,ITA,Europe & Central Asia,HIC,2015,Disclosure requirements for non-financial institutions,OGD,The Corporate Governance Code of Italian Listed Companies (Legislative 254/2016), Italian Corporate Governance Committee,3,3,
104,Netherlands,NLD,Europe & Central Asia,HIC,2015,Disclosure requirements for non-financial institutions,OGD,Dutch Pensions Act Requires Funds to Report on Environmental and Social Issues (Article 135),Kingdom of the Netherlands ,3,3,
105,Spain,ESP,Europe & Central Asia,HIC,2015,Disclosure requirements for non-financial institutions,OGD,Spain Updates Good Governance Code of Listed Companies with Corporate Social Responsibility Recommendations,Securities and Exchange Commission (CNMV) ,2,3,
106,United Kingdom,,Europe & Central Asia,HIC,2015,Disclosure requirements for non-financial institutions,OGD,The Impact of Climate Change on the UK Insurance Sector,Prudential Regulation Authority (PRA),2,3,
107,Bulgaria,BGR,Europe & Central Asia,UMIC,2015,Disclosure requirements for non-financial institutions,OGD,Amendment to the Accounting Act 237,Government of Bulgaria ,3,3,
108,Malaysia,MYS,East Asia & Pacific,UMIC,2015,Disclosure requirements for non-financial institutions,OGD,Sustainability Amendments to Malaysia's Main Market Listing Requirements,Bursa Malaysia ,3,3,
109,Peru,PER,Latin America & Caribbean,UMIC,2015,Disclosure requirements for non-financial institutions,OGD,Peru Adopts Resolution that Includes Mandatory Sustainability Reporting (Resolución SMV Nº 033-2015-SMV/01),Superintendencia del Mercado de Valores (SMV) ,2,3,
110,India,IND,South Asia,LMIC,2015,Credit Allocation,GCA,Priority Sector Lending,Reserve Bank of India,1,3,
111,South Korea,KOR,East Asia & Pacific,HIC,2015,Green finance guidelines,GFP,National Pension Fund Investments to Include ESG Considerations (National Pension Service Act, Chapter VI Article 102 (4)),Government of South Korea,3,2,
112,Sweden,SWE,Europe & Central Asia,HIC,2016,Climate risk management,GPP,Assessment of Climate Change and Financial Stability,The Swedish Financial Supervisory Authority (Finansinspektionen) ,2,1,
113,Egypt,EGY,Middle East & North Africa,LMIC,2016,Disclosure requirements for non-financial institutions,OGD,Egypt's Corporate Governance Code,Egyptian Institute of Directors (EIoD) ,3,1,
114,Canada,CAN,North America,HIC,2016,Green finance guidelines,GFP,The Canadian Association of Pension Supervisory Authorities (CAPSA) has amended its guidance in February 2017, to list environmental, social, and governarnce (ESG) issues as typical risks to be evaluated by pension trustees.,Canadian Association of Pension Supervisory Authorities,3,1,
115,Chile,CHL,Latin America & Caribbean,HIC,2016,Green finance guidelines,GFP,A Guide on Sustainability Reporting in Chile,Bolsa de Comercio de Santiago ,3,1,
116,Italy,ITA,Europe & Central Asia,HIC,2016,Green finance guidelines,GFP,National Dialogue for Sustainable Finance,Government,3,1,
117,Netherlands,NLD,Europe & Central Asia,HIC,2016,Green finance guidelines,GFP,The Netherland's Sustainable Finance Platform,De Nederlandsche Bank (DNB) ,1,1,
118,Netherlands,NLD,Europe & Central Asia,HIC,2016,Green finance guidelines,GFP,Time for Transition: An Exploratory Study of the Transition to a Carbon-Neutral Economy,De Nederlandsche Bank (DNB) ,1,1,
119,Norway,NOR,Europe & Central Asia,HIC,2016,Green finance guidelines,GFP,Guidelines for Observation and Exclusion from the Government Pension Fund Global (as Amended in 2016),Government of Norway ,3,1,
120,United Kingdom,,Europe & Central Asia,HIC,2016,Green finance guidelines,GFP,Working Paper on the Potential Impacts of Climate Change on Central Banks' Monetary and Financial Stability Objectives, Bank of England,1,1,
121,United Kingdom,,Europe & Central Asia,HIC,2016,Green finance guidelines,GFP,Code 13: Governance and administration of occupational trust-based schemes providing money purchase benefits,UK Pensions Regulator,4,1,
122,China,CHN,East Asia & Pacific,UMIC,2016,Green finance guidelines,GFP,China's Guidelines for Establishing the Green Financial System,People’s Bank of China (PBoC), Ministry of Finance, National Development and Reform Commission (NDRC), Ministry of Environmental Protection, China Banking Regulatory Commission (CBRC), China Securities Regulatory Commission (CSRC) and China Insurance Regulatory Commission (CIRC),4,1,
123,Kazakhstan,KAZ,Europe & Central Asia,UMIC,2016,Green finance guidelines,GFP,Kazakhstan is Developing a Green Finance Regulatory Framework, Covering Green Bonds, Loans, Technologies, and Projects,Astana International Financial Centre (AIFC) and the EBRD,3,1,
124,Mexico,MEX,Latin America & Caribbean,UMIC,2016,Green finance guidelines,GFP,Protocolo de Sustentabilidad de la Banca,ABM - Asociacion de Bancos de Mexico,3,1,
125,Russian federation,RUS,Europe & Central Asia,UMIC,2016,Green finance guidelines,GFP,Financial Market Regulation, Including Provision on Green Bonds,Central Bank of Russia,1,1,
126,Nigeria,NGA,Sub-Saharan Africa,LMIC,2016,Green bonds,GB,Green Bond Guidelines,Federal Ministry of Environment (FMEnv) ,3,1,
127,China,CHN,East Asia & Pacific,UMIC,2016,Green bonds,GB,Green Bond Guidelines Issued by China's National Development and Reform Commission (NDRC),National Development and Reform Commission ,3,1,
128,Russian federation,RUS,Europe & Central Asia,UMIC,2016,Green bonds,GB,Review of Russia's Financial Market Regulation, Including Provisions on Green Bonds,Central Bank of Russia ,1,1,
129,Netherlands,NLD,Europe & Central Asia,HIC,2016,Climate risk management,GPP,Dutch Corporate Governance Code Includes Provisions on Corporate Social Responsibility (CSR),Monitoring Commissie Corporate Governance ,2,3,
130,Viet Nam,,East Asia & Pacific,LMIC,2016,Climate risk management,GPP,Circular on Lending Transactions of Credit Institutions and/or Foreign Bank Branches with Customers (Circular 39/2016/TT-NHNN),State Bank of Vietnam (SBV) ,1,3,
131,Finland,FIN,Europe & Central Asia,HIC,2016,Disclosure requirements for non-financial institutions,OGD,The Finnish Accounting Act, as Amended in 2016, Requires Large Public Interest Entities to Report on Non-Financial Issues,Government of Finland ,3,3,
132,Germany,DEU,Europe & Central Asia,HIC,2016,Disclosure requirements for non-financial institutions,OGD,Amendment to the German Commercial Code (Section 289b) Requires Companies to Include Non-Financial Information on Corporate Social Responsibility (CSR) in their Reporting,German Government,3,3,
133,Greece,GRC,Europe & Central Asia,HIC,2016,Disclosure requirements for non-financial institutions,OGD,Greek Law 4403/2016 on the Publication of Non-Financial Information,Government of Greece ,3,3,
134,Netherlands,NLD,Europe & Central Asia,HIC,2016,Disclosure requirements for non-financial institutions,OGD,Dutch Corporate Governance Code Includes Provisions on Corporate Social Responsibility (CSR),Monitoring Commissie Corporate Governance ,2,3,
135,Bangladesh,BGD,South Asia,LMIC,2016,Green finance guidelines,GFP,Bangladesh Sets Green Finance Minimum Target at 5% for Banks and Financial Institutions,Bangladesh Bank (BB),1,3,
136,Viet Nam,,East Asia & Pacific,LMIC,2016,Disclosure requirements banks,GPP,Circular on Lending Transactions of Credit Institutions and/or Foreign Bank Branches with Customers (Circular 39/2016/TT-NHNN),State Bank of Vietnam (SBV) ,1,3,
137,Australia,AUS,East Asia & Pacific,HIC,2016,Green bonds,GB,Victoria, Australia, has Issued a USD 225 Million Green Bond,Treasury Corporation Victoria ,3,3,
138,Poland,POL,Europe & Central Asia,HIC,2016,Green bonds,GB,EUR 750 Million Sovereign Green Bond Issued by Poland,Ministry of Finance ,3,3,
139,Ecuador,ECU,Latin America & Caribbean,UMIC,2016,Climate risk management,GPP,Sustainable Banking Protocol,Ecuadorian Association of Private Banks (ASOBANCA) ,3,2,
"140,Mexico,MEX,Latin America & Caribbean,UMIC,2016,Disclosure requirements banks,GPP,Protocolo de Sustentabilidad de la Banca (ABM, 2016) - Page 12 - Pilar estrategico #5 - a.; Green Bonds Principles MX (Climate Finance Advisory Group, 2018) Page 3 – 4. Reporting,ABM - Asociacion de Bancos de Mexico,3,2,"
141,Cambodia,KHM,East Asia & Pacific,LMIC,2016,Green finance guidelines,GFP,Cambodian Sustainable Finance Initiative,The Association of Banks in Cambodia (ABC), the National Bank of Cambodia and the Ministry of Environment ,4,2,
142,Australia,AUS,East Asia & Pacific,HIC,2017,Climate risk management,GPP,The Australian Prudential Regulation Authority (APRA) Calls on Financial Sector Entities to Include Climate Change in Internal Risk Management Processes,Australian Prudential Regulation Authority,2,1,
143,France,FRA,Europe & Central Asia,HIC,2017,Climate risk management,GPP,Evaluating Climate Change Risks in the Banking Sector,Directorate General of the Treasury (with support from the Banque de France and the Prudential Supervisory and Resolution Authority),2,1,
